id;city;street;additional_info;zip_code
1;Kerlukechester;Taryn Ridge;Versatile hack hacking;56813
2;Lake Ofelia;Harvey Lane;Sports withdrawal Architect;80470
3;Toledo;Kuhic Parkways;Pants relationships Health;28260
4;New Chadrick;Crawford Wall;Kids;10724
5;Ponce;Lockman Estate;initiatives;77097
6;Lake Jerrold;Xzavier Loop;Hat North;84681
7;West Myrlside;Davis Lodge;Bike Timor-Leste grow;19680
8;Townefurt;Marquardt Row;contextually-based;4901
9;Roseville;Floyd Valley;initiative Loan calculating;3095
10;Schillerhaven;Dach Trail;Gardens alarm;69017
