id;name;latin_name;description;price;stock;image_path
1;Orchidée;Orchidaceae;Les orchidées sont une famille de plantes à fleurs. La plupart des orchidées vivent dans les régions tropicales et sont pour la plupart épiphytes, c'est-à-dire qu'elles ne sont pas directement enracinées dans le sol mais vivent sur des supports en hauteur. Pour entretenir votre orchidée, vous devez l'arroser hors pot une fois par semanie et éviter de laisser les racines de cette dernière tremper dans l'eau afin d'éviter qu'elles moisissent !;20.5;50;orchidee.png**orchidee2.jpg**orchidee3.jpg
2;Saguaro;Carnegiea gigantea;Cette espèce est originaire du désert de Sonora, la plus grande zone désertique de l'Amérique du Nord, situé à cheval sur le Sud-Ouest des États-Unis (Arizona) et le Nord du Mexique (Sonora et Basse-Californie). On la trouve aussi dans le Sud de la Californie. Pour entretenir votre saguaro, il faut laisser l'arroser une fois par mois si il n'a pas plu !;500;5;saguaro.jpg**saguaro2.jpg**saguaro3.jpg
3;Figuier à caoutchouc;Ficus elastica;C'est une plante qui produit du latex et qui est cultivée en pot comme plante d'intérieur dans les pays tempérés. Pour entretenir votre figuier à caoutchouc, il faut "noyer" la plante une fois toute les deux semaines. NB : Noyer - Arroser abandament la plante (feuilles comprises);90;25;elastica.jpg**figuier2.jpg**figuier3.jpg
4;Lotus sacré;Nelumbo nucifera Gärtner;Le lotus est la fleur sacrée dans les religions orientales (bouddhisme, brahmanisme) dans lesquelles les divinités sont représentées sur un trône en fleur de lotus. Le lotus sacré est la fleur nationale de l'Inde. Pour entretenir votre lotus sacré, il faut que la plante se situe dans de la vase;15;1000;lotus.jpg**lotus2.jpg**lotus3.jpg
5;Lavande;Lavandula;Ce sont des arbrisseaux dicotylédones à fleurs le plus souvent mauves ou violettes disposées en épis, dont la plupart des espèces très odorantes, sont largement utilisées dans toutes les branches de la parfumerie. Pour entretenir votre lavande, vous devez la mettre en plein soleil et l'arroser tous les 3 jours en été;25;0;lavande.jpg**lavande2.jpeg**lavande3.jpg
6;Rosier;Rosa;Ce sont des arbustes et arbrisseaux sarmenteux et épineux. Pour entretenir votre rosier, il faut le laisser à l'extétieur et l'arroser une fois par semaine !;22;250;rosier.jpg**rosier2.jpg**rosier3.jpg
7;Pommier;Malus;Les espèces du genre Malus sont des petits arbres ou des arbustes à feuilles alternes caduques, parfois épineux. Les fleurs blanches ou roses, parfois rouges sont groupées en petites ombelles et donnent une floraison souvent décorative. Vous n'avez pas besoin d'entretenir votre malus, si il est planté pleine terre et qu'il y a suffisamment de pluie durant l'année !;140;0;pommier.jpg**pommier2.jpg**pommier3.jpg
8;Trompette de la mort;Craterellus cornucopioides;C'est un champignon comestible, infundibuliforme comme les chanterelles, entièrement creux et dont l'hyménium n'est pas plissé, au contraire des chanterelles. Pour entretenir vos trompettes de la mort, il faut que ces dernières soient particulièrement bien arrosées !;15;5813;trompette_mort.jpeg**trompette2.jpeg**trompette3.JPG
9;Bonsai;Bonsai;C'est la culture miniaturisée d'un arbre ligneux (à écorce) en pot, venant du Japon, consistant à créer des paysages miniatures en pot avec des minéraux et des végétaux. Pour entretenir votre bonsai, il vous faut connaître les techniques de coupe ainsi que l'apport d'eau et de nourriture fait à celui-ci.;300;26;banzai.jpg**bonsai2.jpg**bonsai3.jpg
10;Tournesol;Helianthus annuus;Cette plante est très cultivée pour ses graines riches en huile alimentaire de bonne qualité (environ 40 % de leur composition). Le tournesol est, avec le colza et l'olivier, l'une des trois sources principales d'huile alimentaire en Europe. Pour entretenir son tournesol personnel, il faut le planter plein pied en plein soleil et l'arroser une fois toutes les semaines !;55.99;552;tournesol.jpg**tournesol2.jpg**tournesol3.jpg
11;Basilic;Ocimum basilicum;cultivée comme plante aromatique et condimentaire. La plante est parfois appelée Basilic commun, Basilic aux sauces, Herbe royale ou Grand Basilic. Pour entretenir votre basilic, il faut l'arroser une fois tous les deux jours !;23;1453;basilic.png**basilic2.jpg**basilic3.jpg
12;Menthe;Mentha;Si les menthes sont connues et appréciées pour leurs qualités aromatiques depuis l'Antiquité, certaines ont acquis une grande valeur économique depuis quelques décennies. Pour entretenir votre menthe, il faut l'arroser tous les ajours et laisser de l'eau dans une coupelle afin que la menthe ne sèche pas !;18;2165;menthe.jpeg**menthe2.jpg**menthe3.jpg
13;Citrouille;Cucurbita pepo subsp. pepo;C'est une plante annuelle dont le fruit volumineux et de couleur jaune orangé porte le même nom. Elle est de la même sous-espèce que les courgettes et la courge spaghetti, il y a donc une probabilité importante d'hybridation. Pour entretenir votre citrouille, il faut le couper afin d'en faire une figure éffrayante et mettre une bougie à l'intérieur !;42;69;citrouille.jpg**citrouille2.jpg**citrouille3.jpg
14;graine de courge;Cucurbita pepo;Elle se mange nature, grillée, hachée ou moulue, et accompagne salades, soupes ou mueslis, se mélange à des légumes, des fruits secs ou s'incorpore dans la pâte à pain. Pour entretenir vos graines de lady godiva il faut les planter en automne et les arroser régulièrement et attendre d'avoir une pousse qui sorte du sol !;15;16512;grainesCourge.jpg**courge2.jpg**courge3.jpg
15;Fraise;Fragaria;La fraise est en terme botanique un faux-fruit, les vrais fruits étant les petits akènes qui pointent à sa surface. Pour entretenir vos fraises il faut mettre du sucre et de la crème chantillie !;26;426;fraise.png**fraise2.jpg**fraise3.jpg
16;Joubarbe des toits;Sempervivum tectorum;également appelée Barbe de Jupiter, est une espèce de plantes succulentes thermophiles à comportement héliophile de la famille des Crassulacées. Pour entretenir votre joubarbe des toits, il faut l'arroser une fois par mois et la mettre au soleil spécialement le matin !;17;6516;cactus_jourbarbe.jpg**joubarbe2.JPG**joubarbe3.jpg
17;Astrophytum;Astrophytum;Ce sont des plantes généralement solitaires, portant de 5 à 8 côtes et dont l'épiderme est marqué de petits flocons blancs. De plus, certains sont dépourvus d'épines. Pour entretenir votre astrophytum, il faut l'arroser une fois par mois et la placer au soleil particulièrement l'après-midi !;70;100;astrophytum.jpg**astrophytum2.jpg**astrophytum3.jpg
18;Noadkoko;Noaduskokotym noeunoeufus;Chacune de ses trois têtes pense de manière autonome. Elles ne semblent s’intéresser qu’à elles-mêmes. Par temps nuageux ses mouvements sont plus lents. Pour entretenir son noadkoko, il faut lui donner des baies régulièrement et l'installer près d'un ruisseau !;103;1450;noadkoko.jpg**noadkoko2.jpg**noadkoko3.jpg
