id;name;latin_name;description;price;stock;image_path
1;maximize Illinois black;Renminbi copying;architectures Money;27345;76116;orange extranet Fall
2;Engineer;Baby Gloves Account;sticky Michigan;17872;82787;HDD
3;orange value-added invoice;architect;Tennessee;79679;78650;port
4;Configuration Kip;world-class revolutionize;deliverables;24362;66202;District Account
5;Frozen Louisiana deliverables;Cotton Graphic;deposit HTTP Customer;83778;13527;Generic Paradigm
6;homogeneous;navigating Officer;Frozen;47944;54717;Checking Camp
7;Facilitator connecting deposit;concept Avon back-end;primary;22746;37560;Unbranded
8;neural synergistic;task-force override Buckinghamshire;GB;51107;40439;Land quantifying green
9;Central invoice;transmitting Right-sized Account;calculating mission-critical;30119;75461;Uzbekistan Buckinghamshire
10;invoice;Metal Investment;auxiliary;21598;91965;calculate Ferry
