categories_id;plant_id
1;1
5;1
9;1
2;2
6;2
7;2
1;3
5;3
8;3
2;4
6;4
11;4
9;4
2;5
6;5
9;5
2;6
5;6
9;6
2;7
3;7
8;7
9;7
2;8
3;8
12;8
1;9
5;9
8;9
2;10
6;10
9;10
1;11
5;11
13;11
1;12
5;12
13;12
2;13
3;13
13;13
2;14
3;14
13;14
2;15
5;15
13;15
2;16
6;16
7;16
10;16
1;17
6;17
7;17
10;17
2;18
5;18
8;18
2;19
6;19
13;19
2;20
5;20
13;20
1;21
6;21
13;21
2;22
3;22
13;22
2;23
5;23
13;23
2;24
4;24
13;24
2;25
6;25
8;25
2;26
5;26
13;26
2;27
5;27
13;27
11;27
2;28
4;28
13;28
2;29
5;29
10;29
13;29
2;30
6;30
13;30
2;31
3;31
13;31
2;32
5;32
9;32
2;33
6;33
9;33
1;34
2;34
6;34
10;34
11;34
2;35
4;35
12;35
1;36
6;36
9;36
2;37
3;37
8;37
13;37
1;38
4;38
9;38
1;39
4;39
9;39
1;40
3;40
4;40
9;40
